Date,YEAR,MONTH_CODE,MONTH,LOP,TEUS ,Boxes
1-Jan-23,2023,1,January,SPI,548,548
2-Jan-23,2023,1,January,TIL,4170,4170
1-Feb-23,2023,2,February,TIL,4091,4091
2-Feb-23,2023,2,February,SPI,180,180
1-Mar-23,2023,3,March,TIL,6209,6209
2-Mar-23,2023,3,March,SPI,923,923
1-Apr-23,2023,4,April,TIL,4123,4123
2-Apr-23,2023,4,April,SPI,0,0
3-Apr-23,2023,4,April,TAS,393,393
1-May-23,2023,5,May,TIL,2915,2915
2-May-23,2023,5,May,SPI,0,0
3-May-23,2023,5,May,TAS,727,727
1-Jun-23,2023,6,June,TIL,2823,2823
2-Jun-23,2023,6,June,SPI,2405,2405
3-Jun-23,2023,6,June,TAS,256,256
1-Jul-23,2023,7,July,TIL,677,677
2-Jul-23,2023,7,July,SPI,979,979
3-Jul-23,2023,7,July,TAS,0,0
4-Jul-23,2023,7,July,MPN,628,628
5-Jul-23,2023,7,July,ICON,180,180
1-Aug-23,2023,8,August,TIL,3486,3486
2-Aug-23,2023,8,August,SPI,2757,2757
3-Aug-23,2023,8,August,TAS,175,175
4-Aug-23,2023,8,August,MPN,513,513
5-Aug-23,2023,8,August,ICON,846,846
1-Sep-23,2023,9,September,TIL,2846,2846
2-Sep-23,2023,9,September,SPI,3834,3834
3-Sep-23,2023,9,September,ICON,1080,1080
4-Sep-23,2023,9,September,TAS,0,0
5-Sep-23,2023,9,September,MPN,0,0
1-Oct-23,2023,10,October,TIL,2020,2020
2-Oct-23,2023,10,October,SPI,5066,5066
3-Oct-23,2023,10,October,ICON,0,0
4-Oct-23,2023,10,October,TAS,0,0
5-Oct-23,2023,10,October,MPN,212,212
1-Nov-23,2023,11,November,TIL,3163,3163
2-Nov-23,2023,11,November,SPI,4805,4805
3-Nov-23,2023,11,November,MPN,993,993
4-Nov-23,2023,11,November,ICON,0,0
5-Nov-23,2023,11,November,TAS,0,0
1-Dec-23,2023,12,December,TIL,3163,3163
2-Dec-23,2023,12,December,SPI,4805,4805
3-Dec-23,2023,12,December,MPN,993,993
4-Dec-23,2023,12,December,ICON,0,0
5-Dec-23,2023,12,December,TAS,0,0
6-Dec-23,2023,12,December,PNJ,44,44
1-Jan-24,2024,1,January,SPI,6047,6047
2-Jan-24,2024,1,January,TIL,4012,4012
3-Jan-24,2024,1,January,PNJ,65,65
4-Jan-24,2024,1,January,MPN,0,0
5-Jan-24,2024,1,January,ICON,0,0
6-Jan-24,2024,1,January,TAS,0,0
1-Feb-24,2024,2,February,SPI,3468,3468
2-Feb-24,2024,2,February,TIL,4380,4380
3-Feb-24,2024,2,February,PNJ,180,180
4-Feb-24,2024,2,February,MPN,0,0
5-Feb-24,2024,2,February,ICON,0,0
6-Feb-24,2024,2,February,TAS,0,0
1-Mar-24,2024,3,March,SPI,2440,2440
1-Mar-24,2024,3,March,TIL,5601,5601
1-Mar-24,2024,3,March,PNJ,154,154
1-Mar-24,2024,3,March,MPN,54,54
1-Mar-24,2024,3,March,ICON,399,399
1-Apr-24,2024,4,April,TIL,2567,2567
1-Apr-24,2024,4,April,SPI,582,582
1-Apr-24,2024,4,April,ICON,198,198
1-Apr-24,2024,4,April,MPN,361,361
1-Apr-24,2024,4,April,PNJ,0,0
1-Apr-24,2024,4,April,TAS,0,0
1-May-24,2024,5,May,TIL,1934,1934
1-May-24,2024,5,May,SPI,1800,1800
1-May-24,2024,5,May,ICON,0,0
1-May-24,2024,5,May,MPN,312,312
1-May-24,2024,5,May,PNJ,0,0
1-May-24,2024,5,May,TAS,-,-
1-Jun-24,2024,6,June,TIL,3982,3982
1-Jun-24,2024,6,June,SPI,2583,2583
1-Jun-24,2024,6,June,MPN,1828,1828
1-Jun-24,2024,6,June,ICON,0,0
1-Jun-24,2024,6,June,PNJ,54,54
1-Jun-24,2024,6,June,TAS,0,0
1-Jul-24,2024,7,July,SPI,2069,2069
2-Jul-24,2024,7,July,MPN,242,242
3-Jul-24,2024,7,July,MAA,0,0
4-Jul-24,2024,7,July,ICN,503,503
5-Jul-24,2024,7,July,TAS,0,0
6-Jul-24,2024,7,July,CTP,0,0
7-Jul-24,2024,7,July,TIL,2443,2443
8-Jul-24,2024,7,July,PNJ,85,85
1-Aug-24,2024,8,August,SPI,915,915
1-Aug-24,2024,8,August,MPN,0,0
1-Aug-24,2024,8,August,MAA,0,0
1-Aug-24,2024,8,August,ICN,0,0
1-Aug-24,2024,8,August,TAS,0,0
1-Aug-24,2024,8,August,CTP,0,0
1-Aug-24,2024,8,August,TIL,4939,4939
1-Aug-24,2024,8,August,PNJ,72,72
1-Sep-24,2024,9,September,ICN,134,134
1-Sep-24,2024,9,September,MPN,19,19
1-Sep-24,2024,9,September,PNJ,61,61
1-Sep-24,2024,9,September,SPI,711,711
1-Sep-24,2024,9,September,TIL,4980,4980
1-Oct-24,2024,10,October,SPI,711,711
1-Oct-24,2024,10,October,TIL,4980,4980
1-Oct-24,2024,10,October,MPN,19,19
1-Oct-24,2024,10,October,ICN,134,134
2-Oct-24,2024,10,October,PNJ,61,61
1-Nov-24,2024,11,November,SPI,1067,1067
1-Nov-24,2024,11,November,MPN,641,641
1-Nov-24,2024,11,November,MAA,0,0
1-Nov-24,2024,11,November,ICN,152,152
1-Nov-24,2024,11,November,TIL,4401,4401
1-Nov-24,2024,11,November,PNJ,0,0
1-Dec-24,2024,12,December,TIL,47565,47565
2-Dec-24,2024,12,December,SPI,23645,23645
3-Dec-24,2024,12,December,MPN,3130,3130
4-Dec-24,2024,12,December,MAA,1638,1638
5-Dec-24,2024,12,December,ICN,1386,1386
6-Dec-24,2024,12,December,PNJ,671,671
7-Dec-24,2024,12,December,TAS,0,0
8-Dec-24,2024,12,December,CTP,0,0
1-Jan-25,2025,1,January,TIL,4397,4397
2-Jan-25,2025,1,January,SPI,921,921
3-Jan-25,2025,1,January,ICN,377,377
4-Jan-25,2025,1,January,MPN,244,244
5-Jan-25,2025,1,January,MAA,0,0
6-Jan-25,2025,1,January,PNJ,0,0
7-Jan-25,2025,1,January,TAS,0,0
8-Jan-25,2025,1,January,CTP,0,0
8-Feb-25,2025,2,February,TIL,9153,9153
8-Feb-25,2025,2,February,SPI,2590,2590
8-Feb-25,2025,2,February,ICN,1096,1096
8-Feb-25,2025,2,February,MPN,817,817
8-Feb-25,2025,2,February,MAA,0,0
8-Feb-25,2025,2,February,PNJ,0,0
8-Feb-25,2025,2,February,TAS,0,0
8-Feb-25,2025,2,February,CTP,0,0
8-Mar-25,2025,3,,,,
8-Mar-25,2025,3,,,,
8-Mar-25,2025,3,,,,
8-Mar-25,2025,3,,,,
8-Mar-25,2025,3,,,,
8-Mar-25,2025,3,,,,
8-Mar-25,2025,3,,,,
8-Mar-25,2025,3,,,,
8-Apr-25,2025,4,,,,
8-Apr-25,2025,4,,,,
8-Apr-25,2025,4,,,,
8-Apr-25,2025,4,,,,
8-Apr-25,2025,4,,,,
8-Apr-25,2025,4,,,,
8-Apr-25,2025,4,,,,
8-Apr-25,2025,4,,,,
8-May-25,2025,5,,,,
9-May-25,2025,5,,,,
10-May-25,2025,5,,,,
11-May-25,2025,5,,,,
12-May-25,2025,5,,,,
13-May-25,2025,5,,,,
14-May-25,2025,5,,,,
15-May-25,2025,5,,,,
16-Jun-25,2025,6,,,,
